행번호,종목,구분,성별,연령 하한선,연령 상한선,등급,기준 하한선,기준 상한선
"46","팔굽혀펴기(2분)","군인","남성","50","51","3급(합격)","27","34"
"47","팔굽혀펴기(2분)","군인","남성","50","51","불합격","0","26"
"48","","","","","","","",""
"49","팔굽혀펴기(2분)","군인","남성","52","53","특급(합격)","49","999"
"50","팔굽혀펴기(2분)","군인","남성","52","53","1급(합격)","41","48"
"51","팔굽혀펴기(2분)","군인","남성","52","53","2급(합격)","33","40"
"52","팔굽혀펴기(2분)","군인","남성","52","53","3급(합격)","25","32"
"53","팔굽혀펴기(2분)","군인","남성","52","53","불합격","0","24"
"54","","","","","","","",""
"55","팔굽혀펴기(2분)","군인","남성","54","55","특급(합격)","47","999"
"56","팔굽혀펴기(2분)","군인","남성","54","55","1급(합격)","39","46"
"57","팔굽혀펴기(2분)","군인","남성","54","55","2급(합격)","31","38"
"58","팔굽혀펴기(2분)","군인","남성","54","55","3급(합격)","23","30"
"59","팔굽혀펴기(2분)","군인","남성","54","55","불합격","0","22"
"60","","","","","","","",""
"61","팔굽혀펴기(2분)","군인","남성","56","57","특급(합격)","44","999"
"62","팔굽혀펴기(2분)","군인","남성","56","57","1급(합격)","36","43"
"63","팔굽혀펴기(2분)","군인","남성","56","57","2급(합격)","28","35"
"64","팔굽혀펴기(2분)","군인","남성","56","57","3급(합격)","20","27"
"65","팔굽혀펴기(2분)","군인","남성","56","57","불합격","0","19"
"66","","","","","","","",""
"67","팔굽혀펴기(2분)","군인","남성","58","59","특급(합격)","42","999"
"68","팔굽혀펴기(2분)","군인","남성","58","59","1급(합격)","34","41"
"69","팔굽혀펴기(2분)","군인","남성","58","59","2급(합격)","26","33"
"70","팔굽혀펴기(2분)","군인","남성","58","59","3급(합격)","18","25"
"71","팔굽혀펴기(2분)","군인","남성","58","59","불합격","0","17"
"72","","","","","","","",""
"73","팔굽혀펴기(2분)","군인","남성","60","99","특급(합격)","40","999"
"74","팔굽혀펴기(2분)","군인","남성","60","99","1급(합격)","32","39"
"75","팔굽혀펴기(2분)","군인","남성","60","99","2급(합격)","24","31"
"76","팔굽혀펴기(2분)","군인","남성","60","99","3급(합격)","16","23"
"77","팔굽혀펴기(2분)","군인","남성","60","99","불합격","0","15"
"78","","","","","","","",""
"79","윗몸일으키기(2분)","군인","남성","0","25","특급(합격)","86","999"
"80","윗몸일으키기(2분)","군인","남성","0","25","1급(합격)","78","85"
"81","윗몸일으키기(2분)","군인","남성","0","25","2급(합격)","70","77"
"82","윗몸일으키기(2분)","군인","남성","0","25","3급(합격)","62","69"
"83","윗몸일으키기(2분)","군인","남성","0","25","불합격","0","61"
"84","","","","","","","",""
"85","윗몸일으키기(2분)","군인","남성","26","30","특급(합격)","84","999"
"86","윗몸일으키기(2분)","군인","남성","26","30","1급(합격)","76","83"
"87","윗몸일으키기(2분)","군인","남성","26","30","2급(합격)","68","75"
"88","윗몸일으키기(2분)","군인","남성","26","30","3급(합격)","60","67"
"89","윗몸일으키기(2분)","군인","남성","26","30","불합격","0","59"
"90","","","","","","","",""
"91","윗몸일으키기(2분)","군인","남성","31","35","특급(합격)","80","999"
"92","윗몸일으키기(2분)","군인","남성","31","35","1급(합격)","72","79"
"93","윗몸일으키기(2분)","군인","남성","31","35","2급(합격)","65","71"
"94","윗몸일으키기(2분)","군인","남성","31","35","3급(합격)","57","64"
"95","윗몸일으키기(2분)","군인","남성","31","35","불합격","0","56"
"96","","","","","","","",""
"97","윗몸일으키기(2분)","군인","남성","36","40","특급(합격)","76","999"
"98","윗몸일으키기(2분)","군인","남성","36","40","1급(합격)","68","75"
"99","윗몸일으키기(2분)","군인","남성","36","40","2급(합격)","60","67"
"100","윗몸일으키기(2분)","군인","남성","36","40","3급(합격)","52","59"
"101","윗몸일으키기(2분)","군인","남성","36","40","불합격","0","51"
"102","","","","","","","",""
"103","윗몸일으키기(2분)","군인","남성","41","43","특급(합격)","72","999"
"104","윗몸일으키기(2분)","군인","남성","41","43","1급(합격)","64","71"
"105","윗몸일으키기(2분)","군인","남성","41","43","2급(합격)","56","63"
"106","윗몸일으키기(2분)","군인","남성","41","43","3급(합격)","48","55"
"107","윗몸일으키기(2분)","군인","남성","41","43","불합격","0","47"
"108","","","","","","","",""
"109","윗몸일으키기(2분)","군인","남성","44","46","특급(합격)","68","999"
"110","윗몸일으키기(2분)","군인","남성","44","46","1급(합격)","60","67"
"111","윗몸일으키기(2분)","군인","남성","44","46","2급(합격)","52","59"
"112","윗몸일으키기(2분)","군인","남성","44","46","3급(합격)","44","51"
"113","윗몸일으키기(2분)","군인","남성","44","46","불합격","0","43"
"114","","","","","","","",""
"115","윗몸일으키기(2분)","군인","남성","47","49","특급(합격)","65","999"
"116","윗몸일으키기(2분)","군인","남성","47","49","1급(합격)","57","64"
"117","윗몸일으키기(2분)","군인","남성","47","49","2급(합격)","49","56"
