건물형태, 군구분,부대구분(관리부대),단지명,시도,시군구,읍면동,리,준공연도,공급세대,면적(15)50이하,면적(24)80이하,면적(30)100이하,면적(36)120이하,면적확인불가
아파트,육군,3군단,기린대아파트 6동,강원도,인제군,기린면,현리,1993,24,,24,,,
아파트,육군,3군단,기린대아파트 7동,강원도,인제군,기린면,현리,1994,24,,24,,,
아파트,육군,3군단,기린대아파트 8동,강원도,인제군,기린면,현리,1996,30,,30,,,
아파트,육군,3군단,기린대아파트 9동,강원도,인제군,기린면,현리,1995,30,,30,,,
아파트,육군,3군단,기린대아파트 11동,강원도,인제군,기린면,현리,1996,30,,30,,,
아파트,육군,3군단,기린대아파트 12동,강원도,인제군,기린면,현리,1998,30,,30,,,
아파트,육군,3군단,기린대아파트 13동,강원도,인제군,기린면,현리,2000,30,,30,,,
아파트,육군,3군단,기린대아파트 15동,강원도,인제군,기린면,현리,2002,30,,30,,,
아파트,육군,3군단,기린대아파트 16동,강원도,인제군,기린면,현리,2003,20,,20,,,
아파트,육군,3군단,기린대아파트 19동,강원도,인제군,기린면,현리,2010,48,,,48,,
아파트,육군,3군단,기린대아파트 20동,강원도,인제군,기린면,현리,2010,41,,,41,,
아파트,육군,3군단,내린천아파트,강원도,인제군,기린면,현리,2004,33,,,28,5,
아파트,육군,3군단,인제아르미소,강원도,인제군,인제읍,합강리,2012,150,,77,,73,
아파트,육군,12사단,합강아파트,강원도,인제군,인제읍,덕산리,2002,90,,90,,,
아파트,육군,12사단,서호아파트 A동,강원도,인제군,북면,원통리,1984,8,8,,,,
아파트,육군,12사단,서호아파트 B동,강원도,인제군,북면,원통리,1993,21,,21,,,
아파트,육군,12사단,서호아파트 C동,강원도,인제군,북면,원통리,1997,30,,30,,,
아파트,육군,12사단,서호아파트 D동,강원도,인제군,북면,원통리,2010,16,,16,,,
아파트,육군,12사단,용대아파트,강원도,인제군,북면,용대리,2004,30,,30,,,
아파트,육군,12사단,백동아파트 1동,강원도,인제군,서화면,천도리,1994,24,,24,,,
아파트,육군,12사단,백동아파트 2동,강원도,인제군,서화면,천도리,1994,24,,24,,,
아파트,육군,12사단,백동아파트 3동,강원도,인제군,서화면,천도리,1994,30,,30,,,
아파트,육군,12사단,백동아파트 4동,강원도,인제군,서화면,천도리,1995,24,,24,,,
아파트,육군,12사단,백동그린빌,강원도,인제군,서화면,천도리,2011,47,,35,12,,
아파트,육군,12사단,천도아파트 C동,강원도,인제군,서화면,천도리,1982,30,30,,,,
아파트,육군,12사단,천도아파트 D동,강원도,인제군,서화면,천도리,1992,30,,30,,,
아파트,육군,12사단,신천도아파트 가동,강원도,인제군,서화면,천도리,2004,40,,40,,,
아파트,육군,12사단,신천도아파트 나동,강원도,인제군,서화면,천도리,2004,20,,20,,,
아파트,육군,12사단,신천도아파트 다동,강원도,인제군,서화면,천도리,2004,30,,30,,,
아파트,육군,12사단,서화아파트 A동,강원도,인제군,서화면,서화리,1985,8,8,,,,
아파트,육군,12사단,서화아파트 B동,강원도,인제군,서화면,서화리,1983,1,1,,,,
아파트,육군,12사단,신아아파트,강원도,인제군,북면,원통리,2001,20,,,20,,
아파트,육군,12사단,혜진아파트,강원도,인제군,북면,원통리,1994,2,,2,,,
아파트,육군,12사단,리버빌아파트,강원도,인제군,인제읍,상동리,2002,31,,6,,25,
아파트,육군,12사단,원통아르미소아파트,강원도,인제군,북면,원통리,2012,230,,82,134,14,
아파트,육군,21사단,경림아파트 101동,강원도,양구군,양구읍,상리,1998,65,,65,,,
아파트,육군,21사단,경림아파트 201동,강원도,양구군,양구읍,상리,2001,25,,25,,,
아파트,육군,21사단,고방산아파트 A동,강원도,양구군,방산면,고방산리,1994,30,,30,,,
아파트,육군,21사단,고방산아파트 B동,강원도,양구군,방산면,고방산리,2006,16,,16,,,
아파트,육군,21사단,대암아파트 E동,강원도,양구군,동면,임당리,1999,30,,30,,,
